event_id,bankroll,cumulative_bets,cumulative_wagered,cumulative_return
46effbd1135423c5,894.41,3,105.59,0.0
4512e46543b960ad,679.97,11,320.03,0.0
6a8a06b542e1516d,709.86,17,407.39,117.25
865aa315ea62c511,643.04,22,474.21,117.25
b4ad3a06ee4d660c,529.05,28,599.4,128.45
20e403a1acfef130,657.1,31,649.2,306.3
47b7e4e60813b7b2,665.87,35,681.79,347.66
c0231720fe516994,657.07,40,730.76,387.83
e7bfdb5e0112891e,669.65,47,763.33,432.98
ed069a95aaaf4f56,732.12,55,833.56,565.68
bc7f7f0ba3db74d2,697.07,60,939.2,636.27
5df10509264586e5,684.18,62,966.95,651.13
1c7cce2f5c17160d,659.12,67,1032.15,691.27
1507214bbc7a79e2,670.9,73,1095.63,766.53
90e7447d8b7f3f35,674.49,75,1109.38,783.87
353de740bb6c7e75,674.49,75,1109.38,783.87
99bf06f20491cb54,693.58,83,1235.21,928.79
23bd78c3f89bdb54,693.58,83,1235.21,928.79
686cccbf1a4de453,572.48,89,1356.31,928.79
d7907a9a968e4d29,497.93,95,1489.74,987.67
9f3d6ddef3d3cccc,504.5,102,1572.43,1076.93
ff9578cdbfabd323,541.61,110,1657.64,1199.25
f4a031ac205ac580,561.0,113,1728.4,1289.4
a3244e3238541482,561.0,113,1728.4,1289.4
d86e913c548c07c2,561.0,113,1728.4,1289.4
1979c80150f630c4,558.07,116,1731.33,1289.4
9211aae062b799d6,543.78,122,1845.74,1389.52
cc5834a495d1ea08,543.78,122,1845.74,1389.52
d6b68eaf4b68b160,498.78,128,1898.75,1397.53
a7724f51e32e763e,514.41,134,1962.36,1476.77
a25b71fe5e31fa97,546.82,140,2038.59,1585.41
d856a0080ac09ed7,546.82,140,2038.59,1585.41
caced97768818230,546.82,140,2038.59,1585.41
e7bc606d269896aa,463.27,149,2166.98,1630.25
30e8b4505f5ccf92,463.27,149,2166.98,1630.25
9e30f69cc0869301,463.27,149,2166.98,1630.25
bcd124bcd3d5be46,463.27,149,2166.98,1630.25
eaa0a728cc91ef60,458.3,153,2234.05,1692.35
04076783ca83d6ae,446.16,155,2254.53,1700.69
fc1868f56d3036eb,494.55,161,2310.87,1805.42
02177caefe7c07d4,536.83,167,2416.24,1953.07
602bb270f2bdbf02,544.03,173,2501.67,2045.7
7cf20446453f852b,566.6,180,2560.61,2127.21
15515e797aedc137,561.73,185,2654.65,2216.38
d181689653115b6a,520.85,191,2700.16,2221.01
daa89f01e1c0f42a,485.36,198,2824.77,2310.13
7929be8290289a47,478.76,202,2831.37,2310.13
eed2b71d77d95416,486.87,206,2846.36,2333.23
49e7e05f902479ca,513.71,210,2896.67,2410.38
620be7e0712d431b,504.55,215,2924.11,2428.66
ad99fa5325519169,518.54,217,2961.66,2480.2
67ec58d7cf599835,481.31,223,2998.89,2480.2
3144121470023e9a,481.31,223,2998.89,2480.2
f5990c11974d8e9c,575.08,228,3076.02,2651.1
d29b5c4f22c6357d,453.66,235,3197.44,2651.1
2eae41f61776c60f,453.66,235,3197.44,2651.1
ac5f67109accb482,415.23,245,3289.05,2704.28
8215e4fe24e8e81b,444.73,251,3364.44,2809.17
35585d970300d45a,480.97,256,3402.73,2883.7
b45d6b73f4ca4467,533.55,262,3504.26,3037.81
4f732e58ed907eff,483.13,270,3611.47,3094.6
322a56923b396b4d,514.9,276,3710.8,3225.7
03b1e846b09f721d,530.47,282,3765.85,3296.32
c0342805a1948cbb,593.4,289,3846.31,3439.71
d5ae8074631762fc,593.4,289,3846.31,3439.71
8d49545dadf9b919,552.44,295,3887.27,3439.71
852454c572675334,552.44,295,3887.27,3439.71
1ef0eae31904e534,566.07,298,3928.68,3494.75
33a331684283900f,685.33,306,4022.26,3707.59
20821819c401ced8,658.4,312,4091.23,3749.63
42c96a9c4802e2e1,580.47,321,4254.64,3835.11
aa3153a9941b4d44,532.21,329,4377.42,3909.63
de25520d54eab12d,542.34,336,4489.48,4031.82
c7ac79839e86ce33,457.2,343,4591.18,4048.38
d1d20e651e6cbc02,457.2,343,4591.18,4048.38
2a74bbba57058f12,457.2,343,4591.18,4048.38
7a703c565ccaa18f,463.28,347,4615.72,4079.0
c046100aea0dba9a,504.38,351,4665.91,4170.29
d4da8995fc91e7ef,504.38,351,4665.91,4170.29
84283233ec42be5f,549.98,356,4716.59,4266.57
b5882371e2a3900d,480.91,361,4785.66,4266.57
a7a79b8efbceaaac,458.86,367,4823.82,4282.68
6546af7ab545b90c,524.37,371,4872.7,4397.07
2d5fbe2103f97053,524.37,371,4872.7,4397.07
e96d8538d3f9d0ed,524.37,371,4872.7,4397.07
80eacd4da0617c57,513.52,373,4883.55,4397.07
487c170da059857d,513.52,373,4883.55,4397.07
9649d75defe0dedb,513.52,373,4883.55,4397.07
b0550072e5f0afa7,516.28,377,4901.62,4417.9
7dcf06c1967801c1,539.68,379,4942.21,4481.89
c912f676692c353a,549.93,386,4963.58,4513.51
351264d11286d09a,435.21,392,5078.3,4513.51
9de7c97e1c0d7927,996.51,399,5186.62,5183.13
6b8f28da9a483049,996.51,399,5186.62,5183.13
cbc071cb20ea59c7,998.46,401,5197.5,5195.96
e31502e3f79d00c5,1019.46,404,5376.18,5395.64
b16a7e6a627e9789,986.73,409,5553.15,5539.88
c0c1bc0766df4c00,998.07,411,5600.91,5598.98
6c9383ffab2725a5,998.07,411,5600.91,5598.98
2f8f3c69522db931,991.65,416,5799.65,5791.3
9e0f28d1f639ad73,1380.67,423,6033.68,6414.35
abcf7e55a0a9ed89,1395.16,429,6209.66,6604.82
03da33a102d9a45f,1385.11,435,6425.04,6810.15
e5d03e4d966126bd,1152.26,443,6760.11,6912.37
70167689d6a01793,1077.18,448,6903.42,6980.6
2c104b7e59a72629,1104.04,450,6984.98,7089.02
a79bfbc01b2264d6,1135.01,458,7097.0,7232.01
4834ff149dc9542a,1300.52,464,7339.72,7640.24
94a5aaf573f780ad,1300.52,464,7339.72,7640.24
1bf49bf829964144,1249.44,465,7390.8,7640.24
3cf68c1d17f66af7,1070.91,469,7588.9,7659.81
0941df56f6ac954b,1070.91,469,7588.9,7659.81
3ae10ac4df3df05c,1045.68,474,7637.79,7683.47
df05aa15b2d66f57,1057.83,479,7656.29,7714.12
fd87b1bbfcde9d5e,1208.55,481,7762.23,7970.78
8d5daf67983b65ba,1208.55,481,7762.23,7970.78
81ca2c245b19b3c5,1208.55,481,7762.23,7970.78
b09890ba7ce1d1e2,1196.13,484,7774.65,7970.78
4565d435005319c0,1196.13,484,7774.65,7970.78
74fefd43f073cd2f,1062.07,491,7979.02,8041.09
0c1773639c795466,1118.31,497,8103.12,8221.43
44aa652b181bcf68,1174.18,501,8226.67,8400.85
b26d3e3746fb4024,1301.25,508,8448.32,8749.57
5df17b3620145578,1214.24,516,8676.59,8890.83
33b2f68ef95252e0,1177.47,520,8818.09,8995.56
fc9a9559a05f2704,1255.47,524,8882.66,9138.13
0b5b6876c2a4723f,1268.35,528,8943.13,9211.48
53278852bcd91e11,1333.71,534,9099.57,9433.28
898337ef520fe4d3,1333.71,534,9099.57,9433.28
5f8e00c27b7e7410,1103.58,538,9329.7,9433.28
dfb965c9824425db,1163.1,544,9521.29,9684.39
14b9e0f2679a2205,1283.05,550,9766.86,10049.91
4c12aa7ca246e7a4,1298.35,552,9811.42,10109.77
1e13936d708bcff7,1282.59,556,9867.43,10150.02
2eab7a6c8b0ed8cc,1446.18,561,10079.1,10525.28
c32eab6c2119e989,1325.8,563,10199.48,10525.28
dbd198f780286aca,1163.49,568,10465.79,10629.28
18f5669a92e99d92,1126.61,571,10579.81,10706.42
ddbd0d6259ce57cc,1163.96,579,10769.73,10933.69
dde70a112e053a6c,1163.96,579,10769.73,10933.69
3746e21bb508391a,1244.95,585,10893.83,11138.78
7a82635ffa9b59fe,1193.93,592,11073.44,11267.37
bda04c573563cc2e,1193.93,592,11073.44,11267.37
af1e5c64b8663aa0,1181.38,596,11134.99,11316.37
e29cf523ebd155c5,1111.29,602,11287.63,11398.92
542db012217ecb83,973.33,607,11436.17,11409.5
9c37681096c6f3a9,973.33,607,11436.17,11409.5
831b937811804dad,973.33,607,11436.17,11409.5
e69c5ce12f4e762b,908.82,609,11500.68,11409.5
805ad1801eb26abb,974.38,615,11695.27,11669.65
fd4578cac86d75ca,898.63,621,11853.22,11751.85
d4f364dd076bb0e2,897.58,626,12024.5,11922.08
c3c38c86f5ab9b5c,785.43,631,12154.65,11940.08
ad044be25c94dcfd,789.36,634,12187.18,11976.54
41dca66f9dadfc86,692.86,641,12329.96,12022.82
3bc27ec15facbcf3,696.98,646,12470.91,12167.89
bbb15f301e4a490a,707.1,654,12565.6,12272.7
992c82450d96f726,662.6,662,12684.33,12346.93
398b440e73d55b8b,662.6,662,12684.33,12346.93
d0d43cb9b14f231c,644.0,668,12729.63,12373.63
e49c2db95e572dc8,654.69,672,12762.14,12416.83
307064d3e0f036c2,658.62,675,12767.03,12425.65
56116537d71a578c,702.25,683,12921.62,12623.87
4304992c2acc187b,951.26,689,13074.15,13025.41
a1153013cb5f628f,959.33,694,13120.9,13080.23
3f7c14c7eca7195d,961.4,695,13121.49,13082.89
