Bet,betsite,dates,odds,fighter1,fighter2,class,url
Darren Till,5Dimes,1532719447000,+115,Darren Till,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-228-woodley-vs-till-1530
Darren Till,5Dimes,1532832485000,+125,Darren Till,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-228-woodley-vs-till-1530
Darren Till,5Dimes,1532997186000,+120,Darren Till,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-228-woodley-vs-till-1530
Darren Till,5Dimes,1533131646000,+125,Darren Till,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-228-woodley-vs-till-1530
Darren Till,5Dimes,1533304086000,+120,Darren Till,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-228-woodley-vs-till-1530
Darren Till,5Dimes,1533317229000,+125,Darren Till,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-228-woodley-vs-till-1530
Darren Till,5Dimes,1533331986000,+115,Darren Till,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-228-woodley-vs-till-1530
Darren Till,5Dimes,1533448627000,+110,Darren Till,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-228-woodley-vs-till-1530
Darren Till,5Dimes,1533452783000,+105,Darren Till,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-228-woodley-vs-till-1530
Darren Till,5Dimes,1533507485000,+110,Darren Till,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-228-woodley-vs-till-1530
Darren Till,5Dimes,1533508566000,+115,Darren Till,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-228-woodley-vs-till-1530
Darren Till,5Dimes,1533572646000,+110,Darren Till,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-228-woodley-vs-till-1530
Darren Till,5Dimes,1533587765000,+105,Darren Till,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-228-woodley-vs-till-1530
Darren Till,5Dimes,1533833117000,+110,Darren Till,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-228-woodley-vs-till-1530
Darren Till,5Dimes,1533928506000,+105,Darren Till,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-228-woodley-vs-till-1530
Darren Till,5Dimes,1534169165000,+100,Darren Till,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-228-woodley-vs-till-1530
Darren Till,5Dimes,1534261876000,+105,Darren Till,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-228-woodley-vs-till-1530
Darren Till,5Dimes,1534616318000,+100,Darren Till,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-228-woodley-vs-till-1530
Darren Till,5Dimes,1534865768000,+105,Darren Till,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-228-woodley-vs-till-1530
Darren Till,5Dimes,1534890249000,+100,Darren Till,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-228-woodley-vs-till-1530
Darren Till,5Dimes,1535289667000,-105,Darren Till,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-228-woodley-vs-till-1530
Darren Till,5Dimes,1535322608000,+100,Darren Till,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-228-woodley-vs-till-1530
Darren Till,5Dimes,1535385068000,-105,Darren Till,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-228-woodley-vs-till-1530
Darren Till,5Dimes,1535402888000,+100,Darren Till,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-228-woodley-vs-till-1530
Darren Till,5Dimes,1535508189000,-105,Darren Till,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-228-woodley-vs-till-1530
Darren Till,5Dimes,1535532888000,-110,Darren Till,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-228-woodley-vs-till-1530
Darren Till,5Dimes,1535533390000,-115,Darren Till,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-228-woodley-vs-till-1530
Darren Till,5Dimes,1535550128000,-110,Darren Till,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-228-woodley-vs-till-1530
Darren Till,5Dimes,1535730308000,-105,Darren Till,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-228-woodley-vs-till-1530
Darren Till,5Dimes,1535928666000,-110,Darren Till,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-228-woodley-vs-till-1530
Darren Till,5Dimes,1535939828000,-105,Darren Till,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-228-woodley-vs-till-1530
Darren Till,5Dimes,1536068346000,-110,Darren Till,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-228-woodley-vs-till-1530
Darren Till,5Dimes,1536098238000,-115,Darren Till,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-228-woodley-vs-till-1530
Darren Till,5Dimes,1536181926000,-120,Darren Till,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-228-woodley-vs-till-1530
Darren Till,5Dimes,1536200287000,-140,Darren Till,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-228-woodley-vs-till-1530
