Bet,betsite,dates,odds,fighter1,fighter2,class,url
Eddie Alvarez,5Dimes,1461450248000,+240,Eddie Alvarez,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-fight-night-90-dos-anjos-vs-alvarez-1118
Eddie Alvarez,5Dimes,1461457691000,+260,Eddie Alvarez,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-fight-night-90-dos-anjos-vs-alvarez-1118
Eddie Alvarez,5Dimes,1461618032000,+310,Eddie Alvarez,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-fight-night-90-dos-anjos-vs-alvarez-1118
Eddie Alvarez,5Dimes,1461689105000,+325,Eddie Alvarez,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-fight-night-90-dos-anjos-vs-alvarez-1118
Eddie Alvarez,5Dimes,1464726091000,+350,Eddie Alvarez,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-fight-night-90-dos-anjos-vs-alvarez-1118
Eddie Alvarez,5Dimes,1465486025000,+375,Eddie Alvarez,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-fight-night-90-dos-anjos-vs-alvarez-1118
Eddie Alvarez,5Dimes,1466358485000,+345,Eddie Alvarez,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-fight-night-90-dos-anjos-vs-alvarez-1118
Eddie Alvarez,5Dimes,1467141146000,+325,Eddie Alvarez,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-fight-night-90-dos-anjos-vs-alvarez-1118
Eddie Alvarez,5Dimes,1467217625000,+310,Eddie Alvarez,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-fight-night-90-dos-anjos-vs-alvarez-1118
Eddie Alvarez,5Dimes,1467554583000,+300,Eddie Alvarez,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-fight-night-90-dos-anjos-vs-alvarez-1118
Eddie Alvarez,5Dimes,1467556384000,+290,Eddie Alvarez,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-fight-night-90-dos-anjos-vs-alvarez-1118
Eddie Alvarez,5Dimes,1467576364000,+275,Eddie Alvarez,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-fight-night-90-dos-anjos-vs-alvarez-1118
Eddie Alvarez,5Dimes,1467638643000,+270,Eddie Alvarez,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-fight-night-90-dos-anjos-vs-alvarez-1118
Eddie Alvarez,5Dimes,1467727232000,+290,Eddie Alvarez,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-fight-night-90-dos-anjos-vs-alvarez-1118
Eddie Alvarez,5Dimes,1467753665000,+285,Eddie Alvarez,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-fight-night-90-dos-anjos-vs-alvarez-1118
Eddie Alvarez,5Dimes,1467913526000,+295,Eddie Alvarez,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-fight-night-90-dos-anjos-vs-alvarez-1118
Eddie Alvarez,5Dimes,1467916745000,+280,Eddie Alvarez,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-fight-night-90-dos-anjos-vs-alvarez-1118
Eddie Alvarez,5Dimes,1467918005000,+275,Eddie Alvarez,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-fight-night-90-dos-anjos-vs-alvarez-1118
Eddie Alvarez,5Dimes,1467918186000,+260,Eddie Alvarez,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-fight-night-90-dos-anjos-vs-alvarez-1118
Eddie Alvarez,5Dimes,1467926645000,+255,Eddie Alvarez,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-fight-night-90-dos-anjos-vs-alvarez-1118
Eddie Alvarez,5Dimes,1467927005000,+248,Eddie Alvarez,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-fight-night-90-dos-anjos-vs-alvarez-1118
Eddie Alvarez,5Dimes,1467945365000,+255,Eddie Alvarez,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-fight-night-90-dos-anjos-vs-alvarez-1118
Eddie Alvarez,5Dimes,1467949863000,+245,Eddie Alvarez,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-fight-night-90-dos-anjos-vs-alvarez-1118
Eddie Alvarez,BetDSI,1465913886000,+385,Eddie Alvarez,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-fight-night-90-dos-anjos-vs-alvarez-1118
Eddie Alvarez,BetDSI,1466433184000,+345,Eddie Alvarez,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-fight-night-90-dos-anjos-vs-alvarez-1118
Eddie Alvarez,BetDSI,1466532908000,+345,Eddie Alvarez,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-fight-night-90-dos-anjos-vs-alvarez-1118
Eddie Alvarez,BetDSI,1467207365000,+310,Eddie Alvarez,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-fight-night-90-dos-anjos-vs-alvarez-1118
Eddie Alvarez,BetDSI,1467400686000,+305,Eddie Alvarez,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-fight-night-90-dos-anjos-vs-alvarez-1118
Eddie Alvarez,BetDSI,1467581772000,+300,Eddie Alvarez,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-fight-night-90-dos-anjos-vs-alvarez-1118
Eddie Alvarez,BetDSI,1467592564000,+290,Eddie Alvarez,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-fight-night-90-dos-anjos-vs-alvarez-1118
Eddie Alvarez,BetDSI,1467747006000,+285,Eddie Alvarez,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-fight-night-90-dos-anjos-vs-alvarez-1118
Eddie Alvarez,BetDSI,1467918726000,+233,Eddie Alvarez,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-fight-night-90-dos-anjos-vs-alvarez-1118
Eddie Alvarez,BetDSI,1467929345000,+230,Eddie Alvarez,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-fight-night-90-dos-anjos-vs-alvarez-1118
Eddie Alvarez,BetDSI,1467944465000,+245,Eddie Alvarez,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-fight-night-90-dos-anjos-vs-alvarez-1118
Eddie Alvarez,BetDSI,1467949684000,+251,Eddie Alvarez,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-fight-night-90-dos-anjos-vs-alvarez-1118
Eddie Alvarez,BetDSI,1467950226000,+245,Eddie Alvarez,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-fight-night-90-dos-anjos-vs-alvarez-1118
Eddie Alvarez,BookMaker,1465913346000,+385,Eddie Alvarez,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-fight-night-90-dos-anjos-vs-alvarez-1118
Eddie Alvarez,BookMaker,1466432644000,+345,Eddie Alvarez,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-fight-night-90-dos-anjos-vs-alvarez-1118
Eddie Alvarez,BookMaker,1466433184000,+385,Eddie Alvarez,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-fight-night-90-dos-anjos-vs-alvarez-1118
Eddie Alvarez,BookMaker,1466433364000,+345,Eddie Alvarez,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-fight-night-90-dos-anjos-vs-alvarez-1118
Eddie Alvarez,BookMaker,1466532365000,+345,Eddie Alvarez,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-fight-night-90-dos-anjos-vs-alvarez-1118
Eddie Alvarez,BookMaker,1466532545000,+345,Eddie Alvarez,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-fight-night-90-dos-anjos-vs-alvarez-1118
Eddie Alvarez,BookMaker,1466532727000,+345,Eddie Alvarez,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-fight-night-90-dos-anjos-vs-alvarez-1118
Eddie Alvarez,BookMaker,1467206824000,+310,Eddie Alvarez,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-fight-night-90-dos-anjos-vs-alvarez-1118
Eddie Alvarez,BookMaker,1467207006000,+345,Eddie Alvarez,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-fight-night-90-dos-anjos-vs-alvarez-1118
Eddie Alvarez,BookMaker,1467207184000,+310,Eddie Alvarez,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-fight-night-90-dos-anjos-vs-alvarez-1118
Eddie Alvarez,BookMaker,1467207365000,+345,Eddie Alvarez,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-fight-night-90-dos-anjos-vs-alvarez-1118
Eddie Alvarez,BookMaker,1467207546000,+310,Eddie Alvarez,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-fight-night-90-dos-anjos-vs-alvarez-1118
Eddie Alvarez,BookMaker,1467400146000,+305,Eddie Alvarez,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-fight-night-90-dos-anjos-vs-alvarez-1118
