Bet,betsite,dates,odds,fighter1,fighter2,class,url
Dustin Poirier,5Dimes,1473550212000,-175,Dustin Poirier,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-fight-night-94-johnson-vs-poirier-1160
Dustin Poirier,5Dimes,1473550928000,-215,Dustin Poirier,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-fight-night-94-johnson-vs-poirier-1160
Dustin Poirier,5Dimes,1473557238000,-175,Dustin Poirier,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-fight-night-94-johnson-vs-poirier-1160
Dustin Poirier,5Dimes,1473575407000,-170,Dustin Poirier,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-fight-night-94-johnson-vs-poirier-1160
Dustin Poirier,5Dimes,1473575587000,-180,Dustin Poirier,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-fight-night-94-johnson-vs-poirier-1160
Dustin Poirier,5Dimes,1473610691000,-150,Dustin Poirier,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-fight-night-94-johnson-vs-poirier-1160
Dustin Poirier,5Dimes,1473660365000,-155,Dustin Poirier,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-fight-night-94-johnson-vs-poirier-1160
Dustin Poirier,5Dimes,1473895817000,-165,Dustin Poirier,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-fight-night-94-johnson-vs-poirier-1160
Dustin Poirier,5Dimes,1474047011000,-160,Dustin Poirier,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-fight-night-94-johnson-vs-poirier-1160
Dustin Poirier,5Dimes,1474048450000,-170,Dustin Poirier,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-fight-night-94-johnson-vs-poirier-1160
Dustin Poirier,5Dimes,1474064477000,-175,Dustin Poirier,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-fight-night-94-johnson-vs-poirier-1160
Dustin Poirier,5Dimes,1474065018000,-170,Dustin Poirier,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-fight-night-94-johnson-vs-poirier-1160
Dustin Poirier,5Dimes,1474071137000,-165,Dustin Poirier,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-fight-night-94-johnson-vs-poirier-1160
Dustin Poirier,5Dimes,1474083377000,-160,Dustin Poirier,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-fight-night-94-johnson-vs-poirier-1160
Dustin Poirier,5Dimes,1474161305000,-165,Dustin Poirier,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-fight-night-94-johnson-vs-poirier-1160
Dustin Poirier,5Dimes,1474169046000,-160,Dustin Poirier,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-fight-night-94-johnson-vs-poirier-1160
Dustin Poirier,5Dimes,1474173370000,-165,Dustin Poirier,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-fight-night-94-johnson-vs-poirier-1160
Dustin Poirier,BetDSI,1473638764000,-150,Dustin Poirier,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-fight-night-94-johnson-vs-poirier-1160
Dustin Poirier,BetDSI,1473682145000,-160,Dustin Poirier,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-fight-night-94-johnson-vs-poirier-1160
Dustin Poirier,BetDSI,1473806888000,-156,Dustin Poirier,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-fight-night-94-johnson-vs-poirier-1160
Dustin Poirier,BetDSI,1473887538000,-157,Dustin Poirier,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-fight-night-94-johnson-vs-poirier-1160
Dustin Poirier,BetDSI,1473887718000,-156,Dustin Poirier,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-fight-night-94-johnson-vs-poirier-1160
Dustin Poirier,BetDSI,1473887892000,-157,Dustin Poirier,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-fight-night-94-johnson-vs-poirier-1160
Dustin Poirier,BetDSI,1473898336000,-160,Dustin Poirier,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-fight-night-94-johnson-vs-poirier-1160
Dustin Poirier,BetDSI,1473898514000,-157,Dustin Poirier,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-fight-night-94-johnson-vs-poirier-1160
Dustin Poirier,BetDSI,1473898698000,-160,Dustin Poirier,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-fight-night-94-johnson-vs-poirier-1160
Dustin Poirier,BetDSI,1474069871000,-161,Dustin Poirier,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-fight-night-94-johnson-vs-poirier-1160
Dustin Poirier,BetDSI,1474071850000,-165,Dustin Poirier,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-fight-night-94-johnson-vs-poirier-1160
Dustin Poirier,BetDSI,1474166168000,-168,Dustin Poirier,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-fight-night-94-johnson-vs-poirier-1160
Dustin Poirier,BetDSI,1474168867000,-170,Dustin Poirier,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-fight-night-94-johnson-vs-poirier-1160
