Bet,betsite,dates,odds,fighter1,fighter2,class,url
Carla Esparza,5Dimes,1418273412000,-130,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,5Dimes,1418281220000,+135,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,5Dimes,1418283905000,+130,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,5Dimes,1418308927000,+140,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,5Dimes,1418330705000,+145,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,5Dimes,1418330893000,+150,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,5Dimes,1418342767000,+155,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,5Dimes,1418344746000,+160,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,5Dimes,1418357346000,+165,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,5Dimes,1418394431000,+160,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,5Dimes,1418416746000,+155,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,5Dimes,1418416927000,+145,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,5Dimes,1418426468000,+140,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,5Dimes,1418429707000,+125,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,5Dimes,1418430246000,+110,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,5Dimes,1418431685000,+120,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,5Dimes,1418443925000,+105,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,5Dimes,1418444285000,+100,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,5Dimes,1418444645000,-105,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,5Dimes,1418445006000,-110,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,BetDSI,1418306766000,+135,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,BetDSI,1418319727000,+138,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,BetDSI,1418340609000,+150,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,BetDSI,1418356987000,+155,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,BetDSI,1418424128000,+140,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,BetDSI,1418427548000,+130,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,BetDSI,1418429168000,+125,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,BetDSI,1418431147000,+115,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,BetDSI,1418444646000,+106,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,BookMaker,1418307127000,+135,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,BookMaker,1418319728000,+138,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,BookMaker,1418340248000,+150,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,BookMaker,1418356987000,+155,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,BookMaker,1418423778000,+145,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,BookMaker,1418423948000,+140,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,BookMaker,1418427548000,+130,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,BookMaker,1418429528000,+123,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,BookMaker,1418431507000,+115,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,BookMaker,1418444646000,+106,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,BookMaker,1418445007000,+100,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,SportBet,1418273412000,-130,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,SportBet,1418281223000,+141,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,SportBet,1418283907000,+136,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,SportBet,1418308929000,+144,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,SportBet,1418330707000,+148,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,SportBet,1418330895000,+153,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,SportBet,1418342769000,+158,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,SportBet,1418357348000,+164,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,SportBet,1418394440000,+158,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,SportBet,1418416755000,+153,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,SportBet,1418416930000,+143,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,SportBet,1418426471000,+138,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,SportBet,1418429709000,+123,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,SportBet,1418430249000,+108,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,SportBet,1418431692000,+118,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,SportBet,1418443927000,+103,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,SportBet,1418444289000,-102,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,SportBet,1418444647000,-107,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,Bovada,1418343126000,+150,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,Bovada,1418396588000,+155,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,Bovada,1418420347000,+145,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,Bovada,1418424308000,+140,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,Bovada,1418425213000,+135,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,Bovada,1418426289000,+130,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,Bovada,1418427408000,+120,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,Bovada,1418430786000,+105,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,Bovada,1418435105000,+110,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,Bovada,1418441945000,+100,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,Sportsbook,1418326387000,+125,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,Sportsbook,1418329810000,+100,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,Sportsbook,1418330347000,+110,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,Sportsbook,1418330706000,+120,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,Sportsbook,1418332507000,+115,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,Sportsbook,1418342768000,+125,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,Sportsbook,1418342948000,+130,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,Sportsbook,1418355006000,+140,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,Sportsbook,1418405589000,+145,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,Sportsbook,1418414440000,+155,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,Sportsbook,1418418728000,+145,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,Sportsbook,1418419813000,+140,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,Sportsbook,1418424128000,+130,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,Sportsbook,1418425570000,+125,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,Sportsbook,1418428449000,+130,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,Sportsbook,1418431869000,+125,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,Sportsbook,1418438709000,+120,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,Sportsbook,1418444468000,+130,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,Pinnacle,1418330532000,+140,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,Pinnacle,1418333228000,+145,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,Pinnacle,1418333773000,+149,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,Pinnacle,1418335930000,+155,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,Pinnacle,1418339530000,+153,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,Pinnacle,1418343308000,+155,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,Pinnacle,1418354108000,+158,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,Pinnacle,1418357348000,+160,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,Pinnacle,1418367246000,+154,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,Pinnacle,1418388848000,+153,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,Pinnacle,1418390108000,+152,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,Pinnacle,1418390831000,+155,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,Pinnacle,1418395881000,+158,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,Pinnacle,1418396949000,+156,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,Pinnacle,1418407753000,+155,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,Pinnacle,1418415668000,+161,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,Pinnacle,1418416929000,+153,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,Pinnacle,1418417108000,+152,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,Pinnacle,1418420896000,+150,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,Pinnacle,1418423050000,+149,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,Pinnacle,1418423589000,+148,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,Pinnacle,1418423779000,+145,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,Pinnacle,1418423949000,+144,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,Pinnacle,1418424129000,+141,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,Pinnacle,1418425037000,+136,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,Pinnacle,1418426470000,+135,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,Pinnacle,1418426649000,+125,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,Pinnacle,1418429529000,+126,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,Pinnacle,1418429898000,+125,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,Pinnacle,1418430072000,+118,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,Pinnacle,1418430249000,+113,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,Pinnacle,1418433666000,+115,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,Pinnacle,1418434389000,+118,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,Pinnacle,1418440689000,+115,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,Pinnacle,1418441407000,+110,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,Pinnacle,1418442848000,+109,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,Pinnacle,1418443748000,+105,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,Pinnacle,1418443927000,+104,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,Pinnacle,1418444110000,+100,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,Pinnacle,1418444647000,-101,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,Pinnacle,1418444828000,-102,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,SportsInt.,1418320626000,+140,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,SportsInt.,1418342948000,+145,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,SportsInt.,1418343488000,+146,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,SportsInt.,1418344027000,+150,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,SportsInt.,1418423229000,+145,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,SportsInt.,1418425030000,+140,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,SportsInt.,1418431148000,+110,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,BetOnline,1418321711000,+140,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,BetOnline,1418333419000,+145,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,BetOnline,1418335937000,+145,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,BetOnline,1418339717000,+150,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,BetOnline,1418390837000,+155,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,BetOnline,1418420901000,+150,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,BetOnline,1418423785000,+145,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,BetOnline,1418425219000,+135,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,BetOnline,1418427014000,+130,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,BetOnline,1418427194000,+125,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,BetOnline,1418430076000,+120,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,BetOnline,1418430253000,+110,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,BetOnline,1418440512000,+125,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,BetOnline,1418440873000,+122,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,BetOnline,1418441772000,+120,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,BetOnline,1418443930000,+100,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,BetOnline,1418444472000,-102,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,BetOnline,1418444831000,+102,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,meanodds,1418273412000,-130,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,meanodds,1418281220000,+106,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,meanodds,1418281223000,+138,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,meanodds,1418283905000,+136,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,meanodds,1418283907000,+133,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,meanodds,1418306766000,+134,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,meanodds,1418307127000,+134,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,meanodds,1418308927000,+137,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,meanodds,1418308929000,+139,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,meanodds,1418319727000,+139,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,meanodds,1418319728000,+140,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,meanodds,1418320626000,+140,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,meanodds,1418321711000,+140,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,meanodds,1418326387000,+138,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,meanodds,1418329810000,+134,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,meanodds,1418330347000,+136,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,meanodds,1418330532000,+136,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,meanodds,1418330705000,+137,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,meanodds,1418330706000,+138,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,meanodds,1418330707000,+139,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,meanodds,1418330893000,+139,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,meanodds,1418330895000,+140,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,meanodds,1418332507000,+139,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
Carla Esparza,meanodds,1418333228000,+140,Carla Esparza,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
