Bet,betsite,dates,odds,fighter1,fighter2,class,url
Antonio Silva,5Dimes,1422579607000,-185,Antonio Silva,Frank Mir,even,https://www.bestfightodds.com/events/ufc-fight-night-61-bigfoot-vs-mir-923
Antonio Silva,5Dimes,1422579786000,-260,Antonio Silva,Frank Mir,even,https://www.bestfightodds.com/events/ufc-fight-night-61-bigfoot-vs-mir-923
Antonio Silva,5Dimes,1422579965000,-285,Antonio Silva,Frank Mir,even,https://www.bestfightodds.com/events/ufc-fight-night-61-bigfoot-vs-mir-923
Antonio Silva,5Dimes,1422580145000,-350,Antonio Silva,Frank Mir,even,https://www.bestfightodds.com/events/ufc-fight-night-61-bigfoot-vs-mir-923
Antonio Silva,5Dimes,1422580685000,-315,Antonio Silva,Frank Mir,even,https://www.bestfightodds.com/events/ufc-fight-night-61-bigfoot-vs-mir-923
Antonio Silva,5Dimes,1422583745000,-305,Antonio Silva,Frank Mir,even,https://www.bestfightodds.com/events/ufc-fight-night-61-bigfoot-vs-mir-923
Antonio Silva,5Dimes,1423087208000,-220,Antonio Silva,Frank Mir,even,https://www.bestfightodds.com/events/ufc-fight-night-61-bigfoot-vs-mir-923
Antonio Silva,5Dimes,1423093152000,-240,Antonio Silva,Frank Mir,even,https://www.bestfightodds.com/events/ufc-fight-night-61-bigfoot-vs-mir-923
Antonio Silva,5Dimes,1424207527000,-250,Antonio Silva,Frank Mir,even,https://www.bestfightodds.com/events/ufc-fight-night-61-bigfoot-vs-mir-923
Antonio Silva,5Dimes,1424207706000,-270,Antonio Silva,Frank Mir,even,https://www.bestfightodds.com/events/ufc-fight-night-61-bigfoot-vs-mir-923
Antonio Silva,5Dimes,1424212746000,-300,Antonio Silva,Frank Mir,even,https://www.bestfightodds.com/events/ufc-fight-night-61-bigfoot-vs-mir-923
Antonio Silva,5Dimes,1424212926000,-290,Antonio Silva,Frank Mir,even,https://www.bestfightodds.com/events/ufc-fight-night-61-bigfoot-vs-mir-923
Antonio Silva,5Dimes,1424285288000,-275,Antonio Silva,Frank Mir,even,https://www.bestfightodds.com/events/ufc-fight-night-61-bigfoot-vs-mir-923
Antonio Silva,5Dimes,1424290867000,-300,Antonio Silva,Frank Mir,even,https://www.bestfightodds.com/events/ufc-fight-night-61-bigfoot-vs-mir-923
Antonio Silva,5Dimes,1424291047000,-310,Antonio Silva,Frank Mir,even,https://www.bestfightodds.com/events/ufc-fight-night-61-bigfoot-vs-mir-923
Antonio Silva,5Dimes,1424295908000,-320,Antonio Silva,Frank Mir,even,https://www.bestfightodds.com/events/ufc-fight-night-61-bigfoot-vs-mir-923
Antonio Silva,5Dimes,1424373487000,-310,Antonio Silva,Frank Mir,even,https://www.bestfightodds.com/events/ufc-fight-night-61-bigfoot-vs-mir-923
Antonio Silva,5Dimes,1424464388000,-320,Antonio Silva,Frank Mir,even,https://www.bestfightodds.com/events/ufc-fight-night-61-bigfoot-vs-mir-923
Antonio Silva,5Dimes,1424468708000,-325,Antonio Silva,Frank Mir,even,https://www.bestfightodds.com/events/ufc-fight-night-61-bigfoot-vs-mir-923
Antonio Silva,5Dimes,1424469068000,-305,Antonio Silva,Frank Mir,even,https://www.bestfightodds.com/events/ufc-fight-night-61-bigfoot-vs-mir-923
Antonio Silva,5Dimes,1424469248000,-300,Antonio Silva,Frank Mir,even,https://www.bestfightodds.com/events/ufc-fight-night-61-bigfoot-vs-mir-923
Antonio Silva,5Dimes,1424555286000,-290,Antonio Silva,Frank Mir,even,https://www.bestfightodds.com/events/ufc-fight-night-61-bigfoot-vs-mir-923
Antonio Silva,5Dimes,1424558525000,-270,Antonio Silva,Frank Mir,even,https://www.bestfightodds.com/events/ufc-fight-night-61-bigfoot-vs-mir-923
Antonio Silva,5Dimes,1424558706000,-280,Antonio Silva,Frank Mir,even,https://www.bestfightodds.com/events/ufc-fight-night-61-bigfoot-vs-mir-923
Antonio Silva,5Dimes,1424563925000,-270,Antonio Silva,Frank Mir,even,https://www.bestfightodds.com/events/ufc-fight-night-61-bigfoot-vs-mir-923
Antonio Silva,5Dimes,1424565365000,-250,Antonio Silva,Frank Mir,even,https://www.bestfightodds.com/events/ufc-fight-night-61-bigfoot-vs-mir-923
Antonio Silva,5Dimes,1424566085000,-230,Antonio Silva,Frank Mir,even,https://www.bestfightodds.com/events/ufc-fight-night-61-bigfoot-vs-mir-923
Antonio Silva,5Dimes,1424574365000,-235,Antonio Silva,Frank Mir,even,https://www.bestfightodds.com/events/ufc-fight-night-61-bigfoot-vs-mir-923
Antonio Silva,5Dimes,1424613246000,-230,Antonio Silva,Frank Mir,even,https://www.bestfightodds.com/events/ufc-fight-night-61-bigfoot-vs-mir-923
Antonio Silva,5Dimes,1424617385000,-220,Antonio Silva,Frank Mir,even,https://www.bestfightodds.com/events/ufc-fight-night-61-bigfoot-vs-mir-923
Antonio Silva,5Dimes,1424635206000,-230,Antonio Silva,Frank Mir,even,https://www.bestfightodds.com/events/ufc-fight-night-61-bigfoot-vs-mir-923
Antonio Silva,5Dimes,1424637185000,-210,Antonio Silva,Frank Mir,even,https://www.bestfightodds.com/events/ufc-fight-night-61-bigfoot-vs-mir-923
Antonio Silva,5Dimes,1424657524000,-200,Antonio Silva,Frank Mir,even,https://www.bestfightodds.com/events/ufc-fight-night-61-bigfoot-vs-mir-923
Antonio Silva,5Dimes,1424658783000,-190,Antonio Silva,Frank Mir,even,https://www.bestfightodds.com/events/ufc-fight-night-61-bigfoot-vs-mir-923
Antonio Silva,5Dimes,1424660223000,-175,Antonio Silva,Frank Mir,even,https://www.bestfightodds.com/events/ufc-fight-night-61-bigfoot-vs-mir-923
Antonio Silva,5Dimes,1424662204000,-170,Antonio Silva,Frank Mir,even,https://www.bestfightodds.com/events/ufc-fight-night-61-bigfoot-vs-mir-923
Antonio Silva,5Dimes,1424662923000,-160,Antonio Silva,Frank Mir,even,https://www.bestfightodds.com/events/ufc-fight-night-61-bigfoot-vs-mir-923
Antonio Silva,5Dimes,1424663104000,-155,Antonio Silva,Frank Mir,even,https://www.bestfightodds.com/events/ufc-fight-night-61-bigfoot-vs-mir-923
Antonio Silva,BetDSI,1424141465000,-240,Antonio Silva,Frank Mir,even,https://www.bestfightodds.com/events/ufc-fight-night-61-bigfoot-vs-mir-923
Antonio Silva,BetDSI,1424193485000,-260,Antonio Silva,Frank Mir,even,https://www.bestfightodds.com/events/ufc-fight-night-61-bigfoot-vs-mir-923
Antonio Silva,BetDSI,1424208427000,-288,Antonio Silva,Frank Mir,even,https://www.bestfightodds.com/events/ufc-fight-night-61-bigfoot-vs-mir-923
Antonio Silva,BetDSI,1424208787000,-270,Antonio Silva,Frank Mir,even,https://www.bestfightodds.com/events/ufc-fight-night-61-bigfoot-vs-mir-923
Antonio Silva,BetDSI,1424213646000,-280,Antonio Silva,Frank Mir,even,https://www.bestfightodds.com/events/ufc-fight-night-61-bigfoot-vs-mir-923
Antonio Silva,BetDSI,1424213827000,-285,Antonio Silva,Frank Mir,even,https://www.bestfightodds.com/events/ufc-fight-night-61-bigfoot-vs-mir-923
Antonio Silva,BetDSI,1424292127000,-305,Antonio Silva,Frank Mir,even,https://www.bestfightodds.com/events/ufc-fight-night-61-bigfoot-vs-mir-923
Antonio Silva,BetDSI,1424406426000,-275,Antonio Silva,Frank Mir,even,https://www.bestfightodds.com/events/ufc-fight-night-61-bigfoot-vs-mir-923
Antonio Silva,BetDSI,1424406966000,-295,Antonio Silva,Frank Mir,even,https://www.bestfightodds.com/events/ufc-fight-night-61-bigfoot-vs-mir-923
Antonio Silva,BetDSI,1424452147000,-305,Antonio Silva,Frank Mir,even,https://www.bestfightodds.com/events/ufc-fight-night-61-bigfoot-vs-mir-923
Antonio Silva,BetDSI,1424555826000,-295,Antonio Silva,Frank Mir,even,https://www.bestfightodds.com/events/ufc-fight-night-61-bigfoot-vs-mir-923
Antonio Silva,BetDSI,1424559965000,-291,Antonio Silva,Frank Mir,even,https://www.bestfightodds.com/events/ufc-fight-night-61-bigfoot-vs-mir-923
Antonio Silva,BetDSI,1424562667000,-290,Antonio Silva,Frank Mir,even,https://www.bestfightodds.com/events/ufc-fight-night-61-bigfoot-vs-mir-923
