Bet,betsite,dates,odds,fighter1,fighter2,class,url
Glover Teixeira,5Dimes,1372965010000,-285,Glover Teixeira,Ryan Bader,even,https://www.bestfightodds.com/events/ufc-fight-night-28-teixeira-vs-bader-705
Glover Teixeira,5Dimes,1372999506000,-320,Glover Teixeira,Ryan Bader,even,https://www.bestfightodds.com/events/ufc-fight-night-28-teixeira-vs-bader-705
Glover Teixeira,5Dimes,1373642827000,-325,Glover Teixeira,Ryan Bader,even,https://www.bestfightodds.com/events/ufc-fight-night-28-teixeira-vs-bader-705
Glover Teixeira,5Dimes,1375479009000,-340,Glover Teixeira,Ryan Bader,even,https://www.bestfightodds.com/events/ufc-fight-night-28-teixeira-vs-bader-705
Glover Teixeira,5Dimes,1375717145000,-360,Glover Teixeira,Ryan Bader,even,https://www.bestfightodds.com/events/ufc-fight-night-28-teixeira-vs-bader-705
Glover Teixeira,5Dimes,1376938809000,-370,Glover Teixeira,Ryan Bader,even,https://www.bestfightodds.com/events/ufc-fight-night-28-teixeira-vs-bader-705
Glover Teixeira,5Dimes,1376949077000,-400,Glover Teixeira,Ryan Bader,even,https://www.bestfightodds.com/events/ufc-fight-night-28-teixeira-vs-bader-705
Glover Teixeira,5Dimes,1377934571000,-420,Glover Teixeira,Ryan Bader,even,https://www.bestfightodds.com/events/ufc-fight-night-28-teixeira-vs-bader-705
Glover Teixeira,5Dimes,1378052290000,-440,Glover Teixeira,Ryan Bader,even,https://www.bestfightodds.com/events/ufc-fight-night-28-teixeira-vs-bader-705
Glover Teixeira,5Dimes,1378225100000,-420,Glover Teixeira,Ryan Bader,even,https://www.bestfightodds.com/events/ufc-fight-night-28-teixeira-vs-bader-705
Glover Teixeira,5Dimes,1378321389000,-430,Glover Teixeira,Ryan Bader,even,https://www.bestfightodds.com/events/ufc-fight-night-28-teixeira-vs-bader-705
Glover Teixeira,5Dimes,1378342447000,-355,Glover Teixeira,Ryan Bader,even,https://www.bestfightodds.com/events/ufc-fight-night-28-teixeira-vs-bader-705
Glover Teixeira,5Dimes,1378342814000,-340,Glover Teixeira,Ryan Bader,even,https://www.bestfightodds.com/events/ufc-fight-night-28-teixeira-vs-bader-705
Glover Teixeira,5Dimes,1378343707000,-330,Glover Teixeira,Ryan Bader,even,https://www.bestfightodds.com/events/ufc-fight-night-28-teixeira-vs-bader-705
Glover Teixeira,BetDSI,1376950150000,-380,Glover Teixeira,Ryan Bader,even,https://www.bestfightodds.com/events/ufc-fight-night-28-teixeira-vs-bader-705
Glover Teixeira,BetDSI,1377962299000,-390,Glover Teixeira,Ryan Bader,even,https://www.bestfightodds.com/events/ufc-fight-night-28-teixeira-vs-bader-705
Glover Teixeira,BetDSI,1378144452000,-425,Glover Teixeira,Ryan Bader,even,https://www.bestfightodds.com/events/ufc-fight-night-28-teixeira-vs-bader-705
Glover Teixeira,BetDSI,1378320132000,-440,Glover Teixeira,Ryan Bader,even,https://www.bestfightodds.com/events/ufc-fight-night-28-teixeira-vs-bader-705
Glover Teixeira,BetDSI,1378343176000,-460,Glover Teixeira,Ryan Bader,even,https://www.bestfightodds.com/events/ufc-fight-night-28-teixeira-vs-bader-705
Glover Teixeira,BetDSI,1378343532000,-370,Glover Teixeira,Ryan Bader,even,https://www.bestfightodds.com/events/ufc-fight-night-28-teixeira-vs-bader-705
Glover Teixeira,BetDSI,1378344071000,-420,Glover Teixeira,Ryan Bader,even,https://www.bestfightodds.com/events/ufc-fight-night-28-teixeira-vs-bader-705
