Bet,betsite,dates,odds,fighter1,fighter2,class,url
Darren Till,5Dimes,1548294669000,-245,Darren Till,Jorge Masvidal,even,https://www.bestfightodds.com/events/ufc-on-espn-5-till-vs-masvidal-1626
Darren Till,5Dimes,1548295211000,-175,Darren Till,Jorge Masvidal,even,https://www.bestfightodds.com/events/ufc-on-espn-5-till-vs-masvidal-1626
Darren Till,5Dimes,1548311407000,-180,Darren Till,Jorge Masvidal,even,https://www.bestfightodds.com/events/ufc-on-espn-5-till-vs-masvidal-1626
Darren Till,5Dimes,1548366490000,-215,Darren Till,Jorge Masvidal,even,https://www.bestfightodds.com/events/ufc-on-espn-5-till-vs-masvidal-1626
Darren Till,5Dimes,1548420493000,-265,Darren Till,Jorge Masvidal,even,https://www.bestfightodds.com/events/ufc-on-espn-5-till-vs-masvidal-1626
Darren Till,5Dimes,1548806588000,-275,Darren Till,Jorge Masvidal,even,https://www.bestfightodds.com/events/ufc-on-espn-5-till-vs-masvidal-1626
Darren Till,5Dimes,1549161549000,-245,Darren Till,Jorge Masvidal,even,https://www.bestfightodds.com/events/ufc-on-espn-5-till-vs-masvidal-1626
Darren Till,5Dimes,1549634767000,-250,Darren Till,Jorge Masvidal,even,https://www.bestfightodds.com/events/ufc-on-espn-5-till-vs-masvidal-1626
Darren Till,5Dimes,1549655653000,-240,Darren Till,Jorge Masvidal,even,https://www.bestfightodds.com/events/ufc-on-espn-5-till-vs-masvidal-1626
Darren Till,5Dimes,1549954854000,-260,Darren Till,Jorge Masvidal,even,https://www.bestfightodds.com/events/ufc-on-espn-5-till-vs-masvidal-1626
Darren Till,5Dimes,1550856795000,-230,Darren Till,Jorge Masvidal,even,https://www.bestfightodds.com/events/ufc-on-espn-5-till-vs-masvidal-1626
Darren Till,5Dimes,1551649506000,-235,Darren Till,Jorge Masvidal,even,https://www.bestfightodds.com/events/ufc-on-espn-5-till-vs-masvidal-1626
Darren Till,5Dimes,1551890356000,-240,Darren Till,Jorge Masvidal,even,https://www.bestfightodds.com/events/ufc-on-espn-5-till-vs-masvidal-1626
Darren Till,5Dimes,1552243868000,-250,Darren Till,Jorge Masvidal,even,https://www.bestfightodds.com/events/ufc-on-espn-5-till-vs-masvidal-1626
Darren Till,5Dimes,1552259347000,-255,Darren Till,Jorge Masvidal,even,https://www.bestfightodds.com/events/ufc-on-espn-5-till-vs-masvidal-1626
Darren Till,5Dimes,1552301828000,-220,Darren Till,Jorge Masvidal,even,https://www.bestfightodds.com/events/ufc-on-espn-5-till-vs-masvidal-1626
Darren Till,5Dimes,1552309928000,-235,Darren Till,Jorge Masvidal,even,https://www.bestfightodds.com/events/ufc-on-espn-5-till-vs-masvidal-1626
Darren Till,5Dimes,1552341969000,-240,Darren Till,Jorge Masvidal,even,https://www.bestfightodds.com/events/ufc-on-espn-5-till-vs-masvidal-1626
Darren Till,5Dimes,1552443532000,-245,Darren Till,Jorge Masvidal,even,https://www.bestfightodds.com/events/ufc-on-espn-5-till-vs-masvidal-1626
Darren Till,5Dimes,1552482370000,-255,Darren Till,Jorge Masvidal,even,https://www.bestfightodds.com/events/ufc-on-espn-5-till-vs-masvidal-1626
Darren Till,5Dimes,1552482730000,-260,Darren Till,Jorge Masvidal,even,https://www.bestfightodds.com/events/ufc-on-espn-5-till-vs-masvidal-1626
Darren Till,5Dimes,1552570574000,-265,Darren Till,Jorge Masvidal,even,https://www.bestfightodds.com/events/ufc-on-espn-5-till-vs-masvidal-1626
Darren Till,5Dimes,1552590909000,-260,Darren Till,Jorge Masvidal,even,https://www.bestfightodds.com/events/ufc-on-espn-5-till-vs-masvidal-1626
Darren Till,5Dimes,1552591088000,-250,Darren Till,Jorge Masvidal,even,https://www.bestfightodds.com/events/ufc-on-espn-5-till-vs-masvidal-1626
Darren Till,5Dimes,1552591276000,-245,Darren Till,Jorge Masvidal,even,https://www.bestfightodds.com/events/ufc-on-espn-5-till-vs-masvidal-1626
Darren Till,5Dimes,1552593787000,-240,Darren Till,Jorge Masvidal,even,https://www.bestfightodds.com/events/ufc-on-espn-5-till-vs-masvidal-1626
Darren Till,5Dimes,1552595053000,-230,Darren Till,Jorge Masvidal,even,https://www.bestfightodds.com/events/ufc-on-espn-5-till-vs-masvidal-1626
Darren Till,5Dimes,1552636267000,-220,Darren Till,Jorge Masvidal,even,https://www.bestfightodds.com/events/ufc-on-espn-5-till-vs-masvidal-1626
Darren Till,5Dimes,1552665431000,-210,Darren Till,Jorge Masvidal,even,https://www.bestfightodds.com/events/ufc-on-espn-5-till-vs-masvidal-1626
Darren Till,5Dimes,1552665609000,-200,Darren Till,Jorge Masvidal,even,https://www.bestfightodds.com/events/ufc-on-espn-5-till-vs-masvidal-1626
Darren Till,5Dimes,1552676048000,-210,Darren Till,Jorge Masvidal,even,https://www.bestfightodds.com/events/ufc-on-espn-5-till-vs-masvidal-1626
Darren Till,5Dimes,1552678570000,-215,Darren Till,Jorge Masvidal,even,https://www.bestfightodds.com/events/ufc-on-espn-5-till-vs-masvidal-1626
Darren Till,5Dimes,1552680009000,-220,Darren Till,Jorge Masvidal,even,https://www.bestfightodds.com/events/ufc-on-espn-5-till-vs-masvidal-1626
Darren Till,5Dimes,1552720689000,-215,Darren Till,Jorge Masvidal,even,https://www.bestfightodds.com/events/ufc-on-espn-5-till-vs-masvidal-1626
Darren Till,5Dimes,1552776849000,-225,Darren Till,Jorge Masvidal,even,https://www.bestfightodds.com/events/ufc-on-espn-5-till-vs-masvidal-1626
Darren Till,BetDSI,1552062253000,-239,Darren Till,Jorge Masvidal,even,https://www.bestfightodds.com/events/ufc-on-espn-5-till-vs-masvidal-1626
Darren Till,BetDSI,1552087632000,-245,Darren Till,Jorge Masvidal,even,https://www.bestfightodds.com/events/ufc-on-espn-5-till-vs-masvidal-1626
Darren Till,BetDSI,1552088537000,-239,Darren Till,Jorge Masvidal,even,https://www.bestfightodds.com/events/ufc-on-espn-5-till-vs-masvidal-1626
Darren Till,BetDSI,1552097352000,-245,Darren Till,Jorge Masvidal,even,https://www.bestfightodds.com/events/ufc-on-espn-5-till-vs-masvidal-1626
Darren Till,BetDSI,1552097532000,-239,Darren Till,Jorge Masvidal,even,https://www.bestfightodds.com/events/ufc-on-espn-5-till-vs-masvidal-1626
Darren Till,BetDSI,1552103292000,-245,Darren Till,Jorge Masvidal,even,https://www.bestfightodds.com/events/ufc-on-espn-5-till-vs-masvidal-1626
