Bet,betsite,dates,odds,fighter1,fighter2,class,url
Anthony Johnson,5Dimes,1430584568000,+110,Anthony Johnson,Daniel Cormier,even,https://www.bestfightodds.com/events/ufc-187-johnson-vs-cormier-945
Anthony Johnson,5Dimes,1430673308000,+125,Anthony Johnson,Daniel Cormier,even,https://www.bestfightodds.com/events/ufc-187-johnson-vs-cormier-945
Anthony Johnson,5Dimes,1430740086000,+120,Anthony Johnson,Daniel Cormier,even,https://www.bestfightodds.com/events/ufc-187-johnson-vs-cormier-945
Anthony Johnson,5Dimes,1431298085000,+100,Anthony Johnson,Daniel Cormier,even,https://www.bestfightodds.com/events/ufc-187-johnson-vs-cormier-945
Anthony Johnson,5Dimes,1431357307000,+105,Anthony Johnson,Daniel Cormier,even,https://www.bestfightodds.com/events/ufc-187-johnson-vs-cormier-945
Anthony Johnson,5Dimes,1431399426000,+115,Anthony Johnson,Daniel Cormier,even,https://www.bestfightodds.com/events/ufc-187-johnson-vs-cormier-945
Anthony Johnson,5Dimes,1431543609000,+120,Anthony Johnson,Daniel Cormier,even,https://www.bestfightodds.com/events/ufc-187-johnson-vs-cormier-945
Anthony Johnson,5Dimes,1431891366000,+125,Anthony Johnson,Daniel Cormier,even,https://www.bestfightodds.com/events/ufc-187-johnson-vs-cormier-945
Anthony Johnson,5Dimes,1431906126000,+115,Anthony Johnson,Daniel Cormier,even,https://www.bestfightodds.com/events/ufc-187-johnson-vs-cormier-945
Anthony Johnson,5Dimes,1432235888000,+110,Anthony Johnson,Daniel Cormier,even,https://www.bestfightodds.com/events/ufc-187-johnson-vs-cormier-945
Anthony Johnson,5Dimes,1432245428000,+100,Anthony Johnson,Daniel Cormier,even,https://www.bestfightodds.com/events/ufc-187-johnson-vs-cormier-945
Anthony Johnson,5Dimes,1432251188000,-110,Anthony Johnson,Daniel Cormier,even,https://www.bestfightodds.com/events/ufc-187-johnson-vs-cormier-945
Anthony Johnson,5Dimes,1432304293000,-105,Anthony Johnson,Daniel Cormier,even,https://www.bestfightodds.com/events/ufc-187-johnson-vs-cormier-945
Anthony Johnson,5Dimes,1432304473000,+100,Anthony Johnson,Daniel Cormier,even,https://www.bestfightodds.com/events/ufc-187-johnson-vs-cormier-945
Anthony Johnson,5Dimes,1432386550000,-105,Anthony Johnson,Daniel Cormier,even,https://www.bestfightodds.com/events/ufc-187-johnson-vs-cormier-945
Anthony Johnson,5Dimes,1432404553000,-110,Anthony Johnson,Daniel Cormier,even,https://www.bestfightodds.com/events/ufc-187-johnson-vs-cormier-945
Anthony Johnson,5Dimes,1432410128000,-115,Anthony Johnson,Daniel Cormier,even,https://www.bestfightodds.com/events/ufc-187-johnson-vs-cormier-945
Anthony Johnson,5Dimes,1432413189000,-120,Anthony Johnson,Daniel Cormier,even,https://www.bestfightodds.com/events/ufc-187-johnson-vs-cormier-945
Anthony Johnson,5Dimes,1432434428000,-115,Anthony Johnson,Daniel Cormier,even,https://www.bestfightodds.com/events/ufc-187-johnson-vs-cormier-945
Anthony Johnson,5Dimes,1432436228000,-125,Anthony Johnson,Daniel Cormier,even,https://www.bestfightodds.com/events/ufc-187-johnson-vs-cormier-945
Anthony Johnson,5Dimes,1432438207000,-120,Anthony Johnson,Daniel Cormier,even,https://www.bestfightodds.com/events/ufc-187-johnson-vs-cormier-945
Anthony Johnson,5Dimes,1432440008000,-115,Anthony Johnson,Daniel Cormier,even,https://www.bestfightodds.com/events/ufc-187-johnson-vs-cormier-945
Anthony Johnson,5Dimes,1432441088000,-120,Anthony Johnson,Daniel Cormier,even,https://www.bestfightodds.com/events/ufc-187-johnson-vs-cormier-945
Anthony Johnson,BetDSI,1430493630000,+120,Anthony Johnson,Daniel Cormier,even,https://www.bestfightodds.com/events/ufc-187-johnson-vs-cormier-945
Anthony Johnson,BetDSI,1431126371000,+115,Anthony Johnson,Daniel Cormier,even,https://www.bestfightodds.com/events/ufc-187-johnson-vs-cormier-945
Anthony Johnson,BetDSI,1431866706000,+110,Anthony Johnson,Daniel Cormier,even,https://www.bestfightodds.com/events/ufc-187-johnson-vs-cormier-945
Anthony Johnson,BetDSI,1431984430000,+111,Anthony Johnson,Daniel Cormier,even,https://www.bestfightodds.com/events/ufc-187-johnson-vs-cormier-945
Anthony Johnson,BetDSI,1431987129000,+112,Anthony Johnson,Daniel Cormier,even,https://www.bestfightodds.com/events/ufc-187-johnson-vs-cormier-945
