Bet,betsite,dates,odds,fighter1,fighter2,class,url
Brad Tavares,5Dimes,1529865724000,-120,Brad Tavares,Israel Adesanya,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-27-finale-tavares-vs-adesanya-1503
Brad Tavares,5Dimes,1529866086000,+125,Brad Tavares,Israel Adesanya,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-27-finale-tavares-vs-adesanya-1503
Brad Tavares,5Dimes,1529866264000,+155,Brad Tavares,Israel Adesanya,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-27-finale-tavares-vs-adesanya-1503
Brad Tavares,5Dimes,1529866447000,+150,Brad Tavares,Israel Adesanya,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-27-finale-tavares-vs-adesanya-1503
Brad Tavares,5Dimes,1529866630000,+175,Brad Tavares,Israel Adesanya,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-27-finale-tavares-vs-adesanya-1503
Brad Tavares,5Dimes,1529866805000,+170,Brad Tavares,Israel Adesanya,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-27-finale-tavares-vs-adesanya-1503
Brad Tavares,5Dimes,1529866986000,+175,Brad Tavares,Israel Adesanya,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-27-finale-tavares-vs-adesanya-1503
Brad Tavares,5Dimes,1529867165000,+160,Brad Tavares,Israel Adesanya,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-27-finale-tavares-vs-adesanya-1503
Brad Tavares,5Dimes,1529867526000,+165,Brad Tavares,Israel Adesanya,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-27-finale-tavares-vs-adesanya-1503
Brad Tavares,5Dimes,1529868965000,+170,Brad Tavares,Israel Adesanya,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-27-finale-tavares-vs-adesanya-1503
Brad Tavares,5Dimes,1529871844000,+150,Brad Tavares,Israel Adesanya,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-27-finale-tavares-vs-adesanya-1503
Brad Tavares,5Dimes,1529872026000,+135,Brad Tavares,Israel Adesanya,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-27-finale-tavares-vs-adesanya-1503
Brad Tavares,5Dimes,1529872566000,+145,Brad Tavares,Israel Adesanya,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-27-finale-tavares-vs-adesanya-1503
Brad Tavares,5Dimes,1529872744000,+170,Brad Tavares,Israel Adesanya,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-27-finale-tavares-vs-adesanya-1503
Brad Tavares,5Dimes,1529873104000,+175,Brad Tavares,Israel Adesanya,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-27-finale-tavares-vs-adesanya-1503
Brad Tavares,5Dimes,1529873284000,+135,Brad Tavares,Israel Adesanya,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-27-finale-tavares-vs-adesanya-1503
Brad Tavares,5Dimes,1529873825000,+155,Brad Tavares,Israel Adesanya,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-27-finale-tavares-vs-adesanya-1503
Brad Tavares,5Dimes,1529874367000,+160,Brad Tavares,Israel Adesanya,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-27-finale-tavares-vs-adesanya-1503
Brad Tavares,5Dimes,1529874545000,+170,Brad Tavares,Israel Adesanya,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-27-finale-tavares-vs-adesanya-1503
Brad Tavares,5Dimes,1529874724000,+175,Brad Tavares,Israel Adesanya,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-27-finale-tavares-vs-adesanya-1503
Brad Tavares,5Dimes,1529875105000,+185,Brad Tavares,Israel Adesanya,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-27-finale-tavares-vs-adesanya-1503
Brad Tavares,5Dimes,1529875805000,+155,Brad Tavares,Israel Adesanya,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-27-finale-tavares-vs-adesanya-1503
Brad Tavares,5Dimes,1529876704000,+170,Brad Tavares,Israel Adesanya,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-27-finale-tavares-vs-adesanya-1503
Brad Tavares,5Dimes,1529877064000,+150,Brad Tavares,Israel Adesanya,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-27-finale-tavares-vs-adesanya-1503
Brad Tavares,5Dimes,1529877605000,+160,Brad Tavares,Israel Adesanya,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-27-finale-tavares-vs-adesanya-1503
Brad Tavares,5Dimes,1529910004000,+185,Brad Tavares,Israel Adesanya,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-27-finale-tavares-vs-adesanya-1503
Brad Tavares,5Dimes,1529910725000,+250,Brad Tavares,Israel Adesanya,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-27-finale-tavares-vs-adesanya-1503
Brad Tavares,5Dimes,1529911085000,+200,Brad Tavares,Israel Adesanya,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-27-finale-tavares-vs-adesanya-1503
Brad Tavares,5Dimes,1529911983000,+165,Brad Tavares,Israel Adesanya,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-27-finale-tavares-vs-adesanya-1503
Brad Tavares,5Dimes,1529931605000,+155,Brad Tavares,Israel Adesanya,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-27-finale-tavares-vs-adesanya-1503
Brad Tavares,5Dimes,1529973545000,+160,Brad Tavares,Israel Adesanya,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-27-finale-tavares-vs-adesanya-1503
Brad Tavares,5Dimes,1530031325000,+165,Brad Tavares,Israel Adesanya,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-27-finale-tavares-vs-adesanya-1503
Brad Tavares,5Dimes,1530053470000,+150,Brad Tavares,Israel Adesanya,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-27-finale-tavares-vs-adesanya-1503
Brad Tavares,5Dimes,1530053650000,+140,Brad Tavares,Israel Adesanya,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-27-finale-tavares-vs-adesanya-1503
Brad Tavares,5Dimes,1530053828000,+130,Brad Tavares,Israel Adesanya,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-27-finale-tavares-vs-adesanya-1503
Brad Tavares,5Dimes,1530110166000,+145,Brad Tavares,Israel Adesanya,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-27-finale-tavares-vs-adesanya-1503
Brad Tavares,5Dimes,1530119705000,+155,Brad Tavares,Israel Adesanya,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-27-finale-tavares-vs-adesanya-1503
Brad Tavares,5Dimes,1530123848000,+165,Brad Tavares,Israel Adesanya,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-27-finale-tavares-vs-adesanya-1503
Brad Tavares,5Dimes,1530168485000,+160,Brad Tavares,Israel Adesanya,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-27-finale-tavares-vs-adesanya-1503
Brad Tavares,5Dimes,1530172806000,+157,Brad Tavares,Israel Adesanya,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-27-finale-tavares-vs-adesanya-1503
Brad Tavares,5Dimes,1530216904000,+150,Brad Tavares,Israel Adesanya,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-27-finale-tavares-vs-adesanya-1503
Brad Tavares,5Dimes,1530336065000,+145,Brad Tavares,Israel Adesanya,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-27-finale-tavares-vs-adesanya-1503
