Bet,betsite,dates,odds,fighter1,fighter2,class,url
Jon Jones,5Dimes,1553783949000,-850,Jon Jones,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-239-jones-vs-santos-1686
Jon Jones,5Dimes,1553811850000,-675,Jon Jones,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-239-jones-vs-santos-1686
Jon Jones,5Dimes,1553821931000,-610,Jon Jones,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-239-jones-vs-santos-1686
Jon Jones,5Dimes,1554073747000,-650,Jon Jones,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-239-jones-vs-santos-1686
Jon Jones,5Dimes,1554323411000,-600,Jon Jones,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-239-jones-vs-santos-1686
Jon Jones,5Dimes,1556504826000,-750,Jon Jones,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-239-jones-vs-santos-1686
Jon Jones,5Dimes,1556838911000,-600,Jon Jones,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-239-jones-vs-santos-1686
Jon Jones,5Dimes,1557005409000,-650,Jon Jones,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-239-jones-vs-santos-1686
Jon Jones,5Dimes,1558471330000,-700,Jon Jones,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-239-jones-vs-santos-1686
Jon Jones,5Dimes,1559056146000,-650,Jon Jones,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-239-jones-vs-santos-1686
Jon Jones,5Dimes,1560125527000,-600,Jon Jones,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-239-jones-vs-santos-1686
Jon Jones,5Dimes,1561986365000,-525,Jon Jones,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-239-jones-vs-santos-1686
Jon Jones,5Dimes,1562072586000,-535,Jon Jones,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-239-jones-vs-santos-1686
Jon Jones,5Dimes,1562091847000,-550,Jon Jones,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-239-jones-vs-santos-1686
Jon Jones,5Dimes,1562095266000,-600,Jon Jones,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-239-jones-vs-santos-1686
Jon Jones,5Dimes,1562159887000,-650,Jon Jones,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-239-jones-vs-santos-1686
Jon Jones,5Dimes,1562194267000,-620,Jon Jones,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-239-jones-vs-santos-1686
Jon Jones,5Dimes,1562198046000,-650,Jon Jones,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-239-jones-vs-santos-1686
Jon Jones,5Dimes,1562238915000,-725,Jon Jones,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-239-jones-vs-santos-1686
Jon Jones,5Dimes,1562245394000,-690,Jon Jones,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-239-jones-vs-santos-1686
Jon Jones,5Dimes,1562275807000,-800,Jon Jones,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-239-jones-vs-santos-1686
Jon Jones,5Dimes,1562328008000,-750,Jon Jones,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-239-jones-vs-santos-1686
Jon Jones,5Dimes,1562340249000,-605,Jon Jones,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-239-jones-vs-santos-1686
Jon Jones,5Dimes,1562349787000,-620,Jon Jones,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-239-jones-vs-santos-1686
Jon Jones,5Dimes,1562368507000,-635,Jon Jones,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-239-jones-vs-santos-1686
Jon Jones,5Dimes,1562415488000,-660,Jon Jones,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-239-jones-vs-santos-1686
Jon Jones,5Dimes,1562427908000,-635,Jon Jones,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-239-jones-vs-santos-1686
Jon Jones,5Dimes,1562434388000,-615,Jon Jones,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-239-jones-vs-santos-1686
Jon Jones,5Dimes,1562435827000,-600,Jon Jones,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-239-jones-vs-santos-1686
Jon Jones,5Dimes,1562442128000,-580,Jon Jones,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-239-jones-vs-santos-1686
Jon Jones,5Dimes,1562443208000,-570,Jon Jones,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-239-jones-vs-santos-1686
Jon Jones,5Dimes,1562445368000,-560,Jon Jones,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-239-jones-vs-santos-1686
Jon Jones,5Dimes,1562446807000,-540,Jon Jones,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-239-jones-vs-santos-1686
Jon Jones,5Dimes,1562453468000,-525,Jon Jones,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-239-jones-vs-santos-1686
Jon Jones,5Dimes,1562462648000,-555,Jon Jones,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-239-jones-vs-santos-1686
Jon Jones,5Dimes,1562465348000,-525,Jon Jones,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-239-jones-vs-santos-1686
Jon Jones,5Dimes,1562470385000,-545,Jon Jones,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-239-jones-vs-santos-1686
Jon Jones,5Dimes,1562471647000,-605,Jon Jones,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-239-jones-vs-santos-1686
Jon Jones,5Dimes,1562472185000,-630,Jon Jones,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-239-jones-vs-santos-1686
Jon Jones,5Dimes,1562472907000,-670,Jon Jones,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-239-jones-vs-santos-1686
